Название вакансии,Название компании,Зарплата,Ссылка на вакансию
PHP-программист Junior,ООО Сибтехнологии,от 50 000 ₽ на руки,https://tomsk.hh.ru/vacancy/112431948?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ОАО Томское пиво,125 000 – 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/110832794?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ООО Паритет,от 80 000 ₽ на руки,https://tomsk.hh.ru/vacancy/110960085?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С# Middle,Гармония Здоровья,160 000 – 180 000 ₽ на руки,https://tomsk.hh.ru/vacancy/112663137?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист приложений прикладного ПО,"Интегра, Группа компаний",от 80 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/112658534?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Головное подразделение Сибагро,до 120 000 ₽ на руки,https://tomsk.hh.ru/vacancy/108310940?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Back-end разработчик (PHP),ООО Система,от 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/111961818?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"Томская электронная компания , ООО НПП",50 000 – 110 000 ₽ на руки,https://tomsk.hh.ru/vacancy/83312825?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior программист 1C,ООО Девопс,от 50 000 ₽ на руки,https://tomsk.hh.ru/vacancy/111558453?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full-stack разработчик (программист фулстек),ООО Делу время,90 000 – 140 000 ₽ на руки,https://tomsk.hh.ru/vacancy/110621883?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (Инженер-программист),СибГМУ,120 000 – 120 000 ₽ на руки,https://tomsk.hh.ru/vacancy/108229103?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++,Алабуга. Проектный менеджмент,240 000 – 450 000 ₽ на руки,https://tomsk.hh.ru/vacancy/111293774?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Latat,до 54 000 ₽ на руки,https://tomsk.hh.ru/vacancy/106808821?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО Газпром трансгаз Томск,60 000 – 100 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/111959538?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО Encore,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/109220906?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО Encore,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/111344751?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист поддержки,Головное подразделение Сибагро,до 140 000 ₽ на руки,https://tomsk.hh.ru/vacancy/109253878?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Лидерпак,от 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/111595480?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,"Компания ЭлеСи, Томск",от 90 000 ₽ на руки,https://tomsk.hh.ru/vacancy/111564065?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"Компания ЭлеСи, Томск",от 75 000 ₽ на руки,https://tomsk.hh.ru/vacancy/111458209?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик,ООО РАНК - ГИС,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/110598106?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ООО СИНЕКТА,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/110867061?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Аптечная сеть ЛЕКА,от 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/111190593?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,"Компания ЭлеСи, Томск",Опыт 1-3 года,https://tomsk.hh.ru/vacancy/108705790?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (производство),АО ИнфоТеКС,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/111988723?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (управленческий учет),АО ИнфоТеКС,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/107354683?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист,УМП Спецавтохозяйство г. Томска,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/111024954?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"ЛАМА, Группа компаний",Опыт 1-3 года,https://tomsk.hh.ru/vacancy/110191921?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист/техник-программист,Томский НИМЦ,от 40 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/112110603?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист,Головное подразделение Сибагро,100 000 – 156 000 ₽ на руки,https://tomsk.hh.ru/vacancy/108310262?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист МИС (медицинских информационных систем),СибГМУ,от 65 000 ₽ на руки,https://tomsk.hh.ru/vacancy/108229060?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (стажер),Академия Абдрашитова,Без опыта,https://tomsk.hh.ru/vacancy/112397837?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С в команду автоматизации,ООО МКК Корона,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/106490083?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист группы программного обеспечения,Газпром газораспределение Томск,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/108826236?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-разработчик,Эн+,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/112623831?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (Центр информационных технологий),Томский государственный архитектурно-строительный университет,от 80 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/102320415?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (стажер),Академия Абдрашитова,Без опыта,https://tomsk.hh.ru/vacancy/112397886?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Аналитик-программист 1С,АО ПО Физтех,от 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/107388600?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист Python (автоматизация измерительного оборудования),ООО Унискан-Ризерч,от 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/112473794?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
FullStack разработчик на поддержку веб-проектов,Userstory,от 80 000 ₽ на руки,https://tomsk.hh.ru/vacancy/109728074?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик (Laravel),ООО Maxmoll,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/111025372?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Unity VR/AR developer (Junior),VR DEV,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/110850609?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Продакт Разработчик Python AI,LATOKEN,1 900 – 2 700 $ до вычета налогов,https://tomsk.hh.ru/vacancy/110683187?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик,ООО ЛЭМЗ-Т,от 60 000 ₽ на руки,https://tomsk.hh.ru/vacancy/95877891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик (1С-Битрикс),Userstory,от 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/108407559?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик голосовых ассистентов,"ТО МФЦ, ОГКУ",40 000 – 40 000 ₽ на руки,https://tomsk.hh.ru/vacancy/111027427?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист АСУТП,ООО Промавтоматика,от 180 000 ₽ на руки,https://tomsk.hh.ru/vacancy/110112992?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (React),Userstory,от 130 000 ₽ на руки,https://tomsk.hh.ru/vacancy/111734909?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,ООО 1C-Рарус,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/111765683?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
.NET Разработчик,Т-Банк,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/91309389?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
